episode,gamma=0.99,gamma=0.8,gamma=0.5
518,132.986454,-29.116743,-3.115148
519,133.99427,-29.135924,-7.463691
520,132.183538,-28.189604,-12.529985
521,131.236588,-28.210797,-14.788535
522,131.577714,-27.402753,-16.590343
523,131.499985,-24.004872,-16.534611
524,131.270367,-21.268631,-16.244651
525,131.537264,-18.78874,-13.563837
526,130.6467,-18.487954,-17.94693
527,130.757225,-17.696894,-20.253795
528,130.685556,-17.614802,-20.254882
529,129.594976,-15.433707,-21.794565
530,133.701676,-18.596846,-24.253119
531,134.730805,-18.882691,-24.426762
532,134.038173,-19.676477,-28.393539
533,133.655829,-19.047351,-24.405626
534,135.345677,-21.665772,-20.462368
535,138.911692,-21.564692,-20.123884
536,140.160433,-21.398109,-21.723429
537,140.066347,-22.234346,-21.611867
538,141.385719,-26.794596,-21.992245
539,141.508271,-23.082902,-21.718308
540,141.344387,-24.675979,-17.543372
541,142.608719,-25.723455,-20.01737
542,142.177731,-25.469326,-20.107429
543,139.485667,-25.40734,-22.591268
544,139.080151,-23.283972,-24.262927
545,139.078293,-23.430686,-20.139028
546,139.077724,-23.315706,-20.349433
547,136.483992,-20.780302,-17.061565
548,136.00897,-21.45005,-14.828486
549,135.752014,-22.427562,-17.201586
550,135.015879,-19.437509,-14.598809
551,132.300843,-19.542862,-12.822623
552,130.361344,-16.402267,-14.07543
553,130.286005,-15.586107,-15.251907
554,129.697408,-16.134596,-14.456284
555,129.502169,-15.070136,-9.749232
556,126.664084,-13.058026,-9.719726
557,126.916428,-10.587114,-13.873989
558,126.181796,-13.551646,-13.462926
559,125.680414,-15.781076,-11.824428
560,125.017486,-16.252826,-15.616933
561,122.316976,-18.651377,-16.255455
562,120.202429,-22.139788,-19.330155
563,122.179111,-21.324147,-19.099516
564,119.075449,-20.510877,-17.056918
565,118.469952,-20.02191,-12.929562
566,118.170006,-19.899292,-13.336179
567,118.431203,-18.756027,-13.079325
568,119.515631,-17.706313,-13.23212
569,116.398733,-18.418586,-13.221209
570,116.65015,-21.357415,-10.302266
571,114.401138,-21.655043,-10.161412
572,112.034141,-25.480004,-8.095664
573,112.040068,-23.026659,-9.473791
574,114.026567,-23.12476,-7.277082
575,113.92388,-19.638292,-7.15902
576,110.422989,-22.629272,-7.70373
577,110.278354,-22.903545,-7.887305
578,110.016888,-22.726902,-11.916064
579,109.949118,-18.368418,-11.636332
580,106.745576,-15.440931,-9.165599
581,103.97264,-15.069897,-13.99418
582,101.820147,-14.914234,-14.852131
583,101.146573,-14.971862,-12.741382
584,101.345188,-15.082761,-12.385284
585,100.611848,-15.37272,-9.932746
586,100.961654,-15.293586,-11.437147
587,101.655937,-14.729996,-7.173558
588,101.739864,-18.854239,-9.087285
589,101.485369,-16.44232,-9.027472
590,100.595959,-16.743189,-4.77906
591,98.271389,-19.435516,-7.001352
592,100.011567,-20.335769,-4.200116
593,102.033396,-21.609586,-8.286424
594,104.027716,-19.622289,-13.223363
595,103.429451,-18.844362,-17.062969
596,103.596899,-18.384476,-21.429043
597,103.273575,-15.750808,-21.932738
598,102.961987,-15.896473,-23.854592
599,104.975805,-13.878639,-21.802165
600,106.986479,-11.050672,-24.268342
601,106.854354,-10.772256,-23.203709
602,106.206782,-11.500886,-22.740076
603,103.118623,-11.667575,-18.697803
604,102.787536,-12.542167,-20.146828
605,105.199234,-14.675789,-20.033857
606,103.214432,-12.587169,-20.914607
607,104.852909,-12.752879,-21.106175
608,107.237465,-16.084549,-21.088872
609,107.208211,-12.462883,-21.736009
610,108.532501,-12.250944,-23.588672
611,108.831421,-14.639949,-19.121257
612,107.90618,-10.34208,-19.357285
613,108.228698,-9.264311,-21.969027
614,108.775067,-5.99209,-17.373208
615,108.635548,-9.770106,-19.575091
616,109.091749,-12.718167,-16.588272
617,110.905258,-13.763668,-18.125031
618,112.268555,-14.661923,-18.086593
619,115.549866,-17.726015,-15.625758
620,112.948205,-18.862823,-11.290748
621,112.769713,-15.365456,-10.820114
622,115.567561,-15.416722,-12.178207
623,112.33096,-16.087368,-11.642897
624,112.297844,-16.266281,-11.963004
625,112.090029,-15.983052,-12.216994
626,108.415577,-15.201858,-14.50691
627,106.652576,-15.605176,-9.861214
628,103.848676,-16.170653,-6.976555
629,100.250777,-12.631271,-10.593612
630,101.457503,-15.160655,-12.090807
631,101.025626,-15.051933,-13.644619
632,97.269825,-14.675177,-13.017815
633,94.062226,-14.233187,-12.695999
634,90.99428,-14.707041,-12.09085
635,90.789052,-12.238521,-16.113564
636,90.939443,-12.545845,-16.923433
637,90.956028,-10.017461,-17.064667
638,87.814517,-10.169547,-17.290436
639,88.02046,-7.934379,-19.204344
640,83.897017,-10.323289,-20.980852
641,80.808312,-6.186566,-24.791638
642,82.876075,-2.320763,-25.070428
643,78.876615,-3.2602,-27.693257
644,78.003034,-3.221698,-25.281698
645,76.065868,-5.674531,-25.885423
646,76.250125,-4.484481,-29.75377
647,76.89743,-4.380323,-24.879288
648,76.090153,-4.085001,-28.88123
649,73.866334,-4.629223,-29.799751
650,73.89432,-4.372217,-27.562968
651,70.920195,-6.582616,-31.619432
652,70.460082,-6.489443,-29.374002
653,72.523499,-6.479089,-30.71419
654,70.247421,-7.019516,-32.594213
655,68.7146,-3.674432,-35.141429
656,68.534284,-6.001167,-35.507107
657,68.087616,-5.455669,-38.093531
658,67.837142,-7.931858,-34.422994
659,65.130863,-7.189425,-30.509522
660,62.277835,-8.200349,-33.894375
661,59.156888,-11.783397,-34.688219
662,61.374299,-8.540679,-34.558958
663,63.6477,-8.254794,-31.573479
664,60.646537,-8.376511,-31.704903
665,63.570588,-9.624638,-33.349657
666,61.028571,-13.021729,-38.098484
667,59.088978,-13.17561,-37.334804
668,60.696764,-12.616449,-39.538012
669,62.149925,-9.791316,-37.706668
670,64.898753,-8.373406,-38.546094
671,64.35576,-8.263974,-39.212245
672,66.772338,-10.796778,-39.349331
673,68.340709,-9.767276,-42.586786
674,65.121992,-11.851418,-42.757012
675,65.358278,-14.934706,-44.399594
676,65.78515,-19.179022,-46.820689
677,68.469709,-17.390037,-46.260602
678,65.362138,-20.56296,-48.689825
679,65.036699,-22.182448,-47.018667
680,62.65298,-22.207926,-51.300743
681,65.478315,-22.221279,-53.94249
682,68.288809,-19.826533,-53.470318
683,70.14667,-19.838833,-57.236298
684,70.084517,-16.673651,-58.934294
685,70.040947,-16.519539,-58.82653
686,69.517287,-18.856331,-56.721845
687,71.193545,-18.592841,-55.558461
688,70.810074,-18.252787,-56.256964
689,70.784477,-17.32477,-53.778364
690,70.553619,-20.20073,-53.700023
691,71.217016,-22.908993,-53.867085
692,72.637957,-22.587492,-55.833401
