episode,epsilon=1.0,epsilon=0.8,epsilon=0.5
723,76.34782,100.266928,167.550614
724,79.57345,100.007546,167.131666
725,81.598447,102.829069,163.267462
726,81.797136,102.622521,162.728546
727,85.656716,103.236209,161.76057
728,88.49339,105.177352,162.466991
729,91.17134,105.304081,162.933458
730,92.78431,106.951831,161.153332
731,93.33375,107.146105,161.043991
732,93.309776,109.667664,160.740356
733,96.939116,107.277492,160.318676
734,100.359571,111.757332,160.952812
735,103.800917,112.192578,159.673393
736,105.686829,111.828809,160.547964
737,104.552309,110.959989,159.925847
738,103.353629,110.310556,159.471856
739,103.652909,112.659009,160.72576
740,103.965478,115.597864,160.714762
741,105.50703,115.688876,160.494696
742,108.90693,115.985025,160.719257
743,108.946207,115.037468,160.468999
744,110.805914,116.036469,160.224282
745,112.56339,118.12796,162.343535
746,114.678139,117.718337,162.141438
747,111.389198,117.597524,162.474696
748,111.209273,115.085198,162.085683
749,111.863815,113.934512,159.383857
750,113.926035,113.557769,157.097273
751,113.602476,113.420208,156.568131
752,116.106695,113.596404,155.914696
753,119.173597,115.778327,155.33726
754,116.45748,115.875825,157.523266
755,118.409797,117.570966,157.464037
756,119.886253,117.536668,159.751722
757,119.792871,119.641962,160.197022
758,123.165032,119.482175,159.339227
759,123.110282,122.19878,158.885017
760,125.854382,122.408014,158.557249
761,128.957657,119.931621,159.290142
762,131.351151,120.278607,161.60679
763,131.795824,123.028372,161.488918
764,131.595802,125.297428,161.682419
765,134.091532,128.149088,161.645994
766,133.957806,130.910012,162.085709
767,136.84164,133.14675,161.734414
768,139.656676,135.268709,162.255309
769,139.97076,136.312353,161.897163
770,139.335834,135.895075,162.196957
771,139.452061,136.004987,162.495562
772,140.019487,136.717506,162.10477
773,140.186196,137.028775,161.738078
774,141.115015,137.209444,162.189088
775,144.824387,139.08077,163.105547
776,144.788061,139.937533,165.905532
777,144.550657,141.895061,165.757801
778,144.717296,142.198707,165.898138
779,145.846779,145.443266,165.600057
780,146.206707,146.052424,165.341867
781,146.753317,144.193563,165.403028
782,144.854686,146.725126,165.436771
783,142.267978,147.192572,165.67211
784,142.611948,149.975446,165.577384
785,143.132001,152.359999,165.391085
786,143.325123,149.230929,165.08333
787,144.268388,149.959603,167.058437
788,144.464258,152.943097,169.219105
789,144.656167,152.931517,169.283108
790,145.054614,154.966508,169.333799
791,147.919962,155.086609,169.397387
792,147.830111,156.91452,169.685994
